0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
38.0,11.0,2519.0,115.0,58.0,32.0,469.0,5601.0,21.0,449.0,3511.0,55.0,455.0,12.0,58.0,1616.0,4.0,162.0,3583.0,189.0,81.0,949.0,1240.0,402.0,25.0,2.0,434.0,145.0,54.0,17.0
43.0,39.0,2728.0,128.0,73.0,56.0,515.0,6076.0,28.0,531.0,4170.0,55.0,553.0,6.0,77.0,1892.0,6.0,168.0,4406.0,212.0,93.0,907.0,1295.0,413.0,20.0,4.0,502.0,191.0,70.0,26.0
24.0,40.0,2648.0,97.0,70.0,31.0,487.0,5826.0,28.0,551.0,3944.0,79.0,447.0,11.0,77.0,1799.0,5.0,251.0,3591.0,204.0,199.0,810.0,1225.0,396.0,21.0,7.0,477.0,187.0,57.0,18.0
35.0,24.0,2347.0,102.0,90.0,51.0,463.0,5344.0,28.0,480.0,3556.0,67.0,462.0,4.0,67.0,1670.0,2.0,289.0,3340.0,171.0,210.0,722.0,1207.0,323.0,11.0,6.0,531.0,196.0,51.0,18.0
43.0,33.0,2331.0,55.0,68.0,43.0,377.0,5279.0,21.0,529.0,3490.0,50.0,444.0,9.0,78.0,1769.0,4.0,308.0,3013.0,278.0,199.0,768.0,1174.0,327.0,13.0,5.0,799.0,173.0,70.0,13.0
34.0,45.0,2179.0,60.0,80.0,37.0,431.0,5226.0,17.0,478.0,3400.0,59.0,427.0,7.0,52.0,1918.0,6.0,270.0,2920.0,165.0,210.0,771.0,1345.0,316.0,10.0,2.0,565.0,202.0,55.0,12.0
26.0,28.0,2092.0,51.0,79.0,37.0,365.0,5353.0,17.0,373.0,3375.0,38.0,414.0,4.0,59.0,1752.0,1.0,179.0,2862.0,167.0,201.0,860.0,1198.0,325.0,14.0,5.0,436.0,167.0,57.0,8.0
22.0,26.0,1974.0,52.0,82.0,36.0,376.0,4996.0,20.0,360.0,3078.0,71.0,377.0,2.0,53.0,1531.0,6.0,160.0,2633.0,240.0,80.0,926.0,1353.0,408.0,10.0,8.0,431.0,132.0,52.0,14.0
43.0,15.0,2615.0,28.0,69.0,50.0,444.0,5908.0,27.0,496.0,3779.0,77.0,479.0,3.0,78.0,2038.0,6.0,212.0,3495.0,216.0,115.0,1010.0,1376.0,448.0,14.0,7.0,569.0,201.0,62.0,21.0
37.0,33.0,2482.0,50.0,87.0,45.0,389.0,5886.0,22.0,548.0,3819.0,56.0,411.0,7.0,86.0,2097.0,4.0,296.0,3463.0,243.0,190.0,832.0,1483.0,376.0,19.0,6.0,428.0,176.0,65.0,19.0
33.0,16.0,2369.0,46.0,76.0,45.0,358.0,5390.0,22.0,513.0,3481.0,66.0,441.0,8.0,80.0,1873.0,10.0,242.0,3090.0,245.0,211.0,753.0,1294.0,336.0,27.0,2.0,454.0,202.0,45.0,17.0
